method,n,iteration,absolute_residual,relative_residual
"Truncated-Green(rank=8)",16,24,3.718994184151772E-07,2.851716992742362E-08
"Truncated-Green(rank=8)",16,25,2.2534800781494672E-07,1.7279638293198698E-08
"Truncated-Green(rank=8)",16,26,1.5857613726635917E-07,1.2159585169909664E-08
"Truncated-Green(rank=8)",16,27,9.494298758039604E-08,7.280208508486689E-09
"Hierarchical-screened(2x2x2,length=2)",16,0,13.041245655219772,1
"Hierarchical-screened(2x2x2,length=2)",16,1,30.764515052800636,2.3590166051727666
"Hierarchical-screened(2x2x2,length=2)",16,2,31.535219056110016,2.4181140275881554
"Hierarchical-screened(2x2x2,length=2)",16,3,9.959312682126676,0.7636780216727572
"Hierarchical-screened(2x2x2,length=2)",16,4,3.1506819924036273,0.2415936388057044
"Hierarchical-screened(2x2x2,length=2)",16,5,1.7701815115333348,0.1357371495279531
"Hierarchical-screened(2x2x2,length=2)",16,6,1.1019154118412642,0.08449464422136864
"Hierarchical-screened(2x2x2,length=2)",16,7,0.7237675643781316,0.055498346056263644
"Hierarchical-screened(2x2x2,length=2)",16,8,0.3774395759945414,0.028941988056445423
"Hierarchical-screened(2x2x2,length=2)",16,9,0.1273897137462858,0.009768216711361306
"Hierarchical-screened(2x2x2,length=2)",16,10,0.06704375565627271,0.005140901216705352
"Hierarchical-screened(2x2x2,length=2)",16,11,0.039111968374264235,0.002999097586863539
"Hierarchical-screened(2x2x2,length=2)",16,12,0.023569309857159697,0.0018072897697257973
"Hierarchical-screened(2x2x2,length=2)",16,13,0.012231519078804882,0.0009379103348083321
"Hierarchical-screened(2x2x2,length=2)",16,14,0.004475337264809101,0.00034316792913243247
"Hierarchical-screened(2x2x2,length=2)",16,15,0.0017339893607409207,0.00013296194294498928
"Hierarchical-screened(2x2x2,length=2)",16,16,0.0006797011582363497,5.21193432135295E-05
"Hierarchical-screened(2x2x2,length=2)",16,17,0.00034363630496156173,2.6349960275767135E-05
"Hierarchical-screened(2x2x2,length=2)",16,18,0.00018690455738553302,1.4331802523076028E-05
"Hierarchical-screened(2x2x2,length=2)",16,19,9.444623287200282E-05,7.242117460934464E-06
"Hierarchical-screened(2x2x2,length=2)",16,20,3.490338994574918E-05,2.6763846697250938E-06
"Hierarchical-screened(2x2x2,length=2)",16,21,1.6074529746402515E-05,1.2325915921972277E-06
"Hierarchical-screened(2x2x2,length=2)",16,22,6.967492439694146E-06,5.34265868759661E-07
"Hierarchical-screened(2x2x2,length=2)",16,23,3.204248938791677E-06,2.457011410953043E-07
"Hierarchical-screened(2x2x2,length=2)",16,24,1.3701113190246943E-06,1.0505985051177269E-07
"Hierarchical-screened(2x2x2,length=2)",16,25,6.255701147202261E-07,4.796858607366552E-08
"Hierarchical-screened(2x2x2,length=2)",16,26,2.927668063121988E-07,2.244929771681884E-08
"Hierarchical-screened(2x2x2,length=2)",16,27,1.1785311001708159E-07,9.036951924137E-09
"Two-level-control(Jacobi-8)",16,0,13.041245655219772,1
"Two-level-control(Jacobi-8)",16,1,34.218228405469695,2.623846625554041
"Two-level-control(Jacobi-8)",16,2,12.17904134747151,0.933886353302212
"Two-level-control(Jacobi-8)",16,3,3.71846993783248,0.2851315001756875
"Two-level-control(Jacobi-8)",16,4,2.1961407634272834,0.1683996162244115
"Two-level-control(Jacobi-8)",16,5,1.5992090521192501,0.12262701695824318
"Two-level-control(Jacobi-8)",16,6,0.6860705826007406,0.05260774934686858
"Two-level-control(Jacobi-8)",16,7,0.22123480258459416,0.01696423857302655
"Two-level-control(Jacobi-8)",16,8,0.10290846588330829,0.007890999725330614
"Two-level-control(Jacobi-8)",16,9,0.056849699687629984,0.004359223128725885
"Two-level-control(Jacobi-8)",16,10,0.02876127116840891,0.002205408281447193
"Two-level-control(Jacobi-8)",16,11,0.010373146136640398,0.0007954106847522296
"Two-level-control(Jacobi-8)",16,12,0.003643979225995659,0.000279419567910459
"Two-level-control(Jacobi-8)",16,13,0.001306193973774117,0.00010015868179366068
"Two-level-control(Jacobi-8)",16,14,0.0005610445957232256,4.302078271937673E-05
"Two-level-control(Jacobi-8)",16,15,0.0003086680326840933,2.3668600442362542E-05
"Two-level-control(Jacobi-8)",16,16,0.00012151987546606665,9.318118734879303E-06
"Two-level-control(Jacobi-8)",16,17,3.7861470217620357E-05,2.9032096487244887E-06
